id, latitude, longitude, timestamp, executionTime
0, -22.923943, -43.177799, 2020-03-17T10:37:55.253Z, 83
1, -22.924776, -43.179428, 2020-03-17T10:39:05.260Z, 60
2, -22.925875, -43.179329, 2020-03-17T10:39:40.276Z, 92
3, -22.928761, -43.179279, 2020-03-17T10:40:50.291Z, 62
4, -22.930351, -43.178955, 2020-03-17T10:42:00.304Z, 58
5, -22.930725, -43.179085, 2020-03-17T10:42:35.316Z, 54
6, -22.931084, -43.179314, 2020-03-17T10:43:44.334Z, 59
7, -22.931461, -43.179459, 2020-03-17T10:44:55.345Z, 55
8, -22.932478, -43.182209, 2020-03-17T10:46:05.357Z, 59
9, -22.932751, -43.183285, 2020-03-17T10:46:40.369Z, 51
10, -22.93276, -43.183285, 2020-03-17T10:47:14.373Z, 59
